adm3_name,adm2_name,adm3_pcode,area_sqkm,center_lat,center_lon,mean_f0,mean_A0,mean_T0,nehrp_class,building_density_km2,coverage_ratio,resonance_risk,interp_pga_cms2,hazard_score,exposure_score,pga_score,SRI,SRI_class
Kyauktada,Yangon (West),MMR013033,0.72344106,16.7743332,96.16131697,0.7839,3.0961,1.2756,E (Very Soft),1130.71,0.4008,Low,5.466,0.0496,0.5453,0.0449,0.2219,Very Low
Pabedan,Yangon (West),MMR013034,0.59059294,16.77548142,96.15572775,0.7824,3.2134,1.2782,E (Very Soft),1584.85,0.4774,Low,4.626,0.0521,0.7648,0.0349,0.2972,Low
Lanmadaw,Yangon (West),MMR013035,1.88965542,16.7761608,96.14191474,0.7854,3.9216,1.2732,E (Very Soft),1051.51,0.287,Low,4.06,0.0668,0.5071,0.0282,0.2112,Very Low
Latha,Yangon (West),MMR013036,0.61457223,16.77616556,96.15051864,0.7822,3.4451,1.2785,E (Very Soft),2071.36,0.4494,Low,4.194,0.0569,1.0,0.0298,0.3802,Low
Ahlone,Yangon (West),MMR013037,3.54443238,16.7855142,96.12699724,0.7996,5.053,1.2507,E (Very Soft),805.21,0.1863,Low,4.921,0.0903,0.388,0.0384,0.1815,Very Low
Kyeemyindaing,Yangon (West),MMR013038,11.1629683,16.80646533,96.0925976,0.8149,8.3341,1.2275,E (Very Soft),679.66,0.0804,Low,10.485,0.1584,0.3273,0.1044,0.204,Very Low
Sanchaung,Yangon (West),MMR013039,2.32724243,16.80699137,96.13353216,0.7648,5.6433,1.3078,E (Very Soft),1788.38,0.3427,Low,3.495,0.1025,0.8632,0.0215,0.3485,Low
Hlaing,Yangon (West),MMR013040,9.95688874,16.84693303,96.12088316,0.8152,11.5981,1.2274,E (Very Soft),945.28,0.2379,Low,47.717,0.2261,0.4557,0.5464,0.3866,Low
Kamaryut,Yangon (West),MMR013041,6.45535435,16.82329337,96.13152672,0.7616,7.0955,1.3137,E (Very Soft),827.22,0.2085,Low,6.172,0.1327,0.3986,0.0532,0.2059,Very Low
Mayangone,Yangon (West),MMR013042,24.50238877,16.85931953,96.15344248,0.8588,17.2067,1.1699,E (Very Soft),736.13,0.1495,Low,85.922,0.3426,0.3546,1.0,0.5111,Moderate
Dagon,Yangon (West),MMR013043,4.86998083,16.79300305,96.14449028,0.7723,4.3198,1.295,E (Very Soft),404.52,0.1476,Low,1.687,0.075,0.1943,0.0,0.098,Very Low
Bahan,Yangon (West),MMR013044,8.42655946,16.81105267,96.15700645,0.7456,4.8152,1.3415,E (Very Soft),949.38,0.2153,Low,5.888,0.0853,0.4577,0.0499,0.2068,Very Low
Hlaingtharya (East),Yangon (North),MMR013046,36.11716231,16.8688221,96.06478162,0.9026,18.4547,1.1108,E (Very Soft),639.0,0.1509,Low,44.555,0.3685,0.3077,0.5089,0.3823,Low
Hlaingtharya (West),Yangon (North),MMR013047,37.22320597,16.89127675,96.03491738,0.9602,22.7295,1.0428,E (Very Soft),49.65,0.0295,Low,38.872,0.4572,0.0228,0.4414,0.3012,Low
