station,is_reference,lat,lon,ssr_f0,ssr_A0,nearest_hvsr_site,hvsr_f0,hvsr_A0,f0_diff
R7183,False,16.87387,96.13344,0.5713,324.2041,SP19,0.7667,3.7942,0.1954
R8939,False,16.8018,96.13527,2.3708,0.1715,SP21,0.6,4.1149,1.7708
RDBC5,False,16.79279,96.14593,0.5713,3.8099,SP21,0.6,4.1149,0.0287
RF99C,False,16.81081,96.13547,0.9712,2.7662,SP21,0.6,4.1149,0.3712
S7E9A,True,16.66667,96.26243,0.5141,1.0,SP17,0.8333,2.8623,0.3192
T9951,False,16.9009,96.55822,8.112,27227782.7371,SP17,0.8333,2.8623,7.2787
