adm3_name,adm2_name,adm3_pcode,area_sqkm,center_lat,center_lon,building_count,building_density_km2,coverage_ratio,total_footprint_m2,mean_footprint_m2,median_footprint_m2,p90_footprint_m2,dom_building_period_s,resonance_risk,mean_T0,mean_f0,mean_A0,nehrp_class
Twantay,Yangon (South),MMR013027,714.20850458,16.73779566,95.98545886,14091,19.729532635972188,0.0012421712977135,887169.3049721923,62.95999609482594,39.57876827517857,122.77832119030715,0.1,Low,1.0034,0.9969,7.674,E (Very Soft)
Kawhmu,Yangon (South),MMR013028,616.75399436,16.54306375,96.10885828,4568,7.406518712116607,0.0004978879272103,307074.3678506316,67.2229351687022,44.15422906024881,127.32863586064772,0.1,Low,1.0084,0.9917,7.561,E (Very Soft)
Kungyangon,Yangon (South),MMR013029,610.57713873,16.43262617,96.11047718,9132,14.95634117417916,0.0010410471633035,635639.5982528831,69.60573787263284,47.73746763192716,122.5964349089403,0.1,Low,1.0084,0.9917,7.5451,E (Very Soft)
Dala,Yangon (South),MMR013030,229.19546738,16.67991598,96.13825754,6599,28.79201790260116,0.0025901030754695,593639.8849446271,89.95906727453054,58.88732016195551,158.33217010625663,0.2,Low,1.0005,1.0,7.8853,E (Very Soft)
Seikgyikanaungto,Yangon (South),MMR013031,12.28878668,16.76649676,96.11040694,1277,103.9158733285132,0.0082046521079361,100825.21953804008,78.95475296635871,47.8085893912359,165.64252862601242,0.1,Low,0.9426,1.0611,8.1473,E (Very Soft)
Kyauktada,Yangon (West),MMR013033,0.72344106,16.7743332,96.16131697,818,1130.7071788267035,0.4007759081629602,289937.7478238746,354.44712447906426,210.6093117386978,700.6347243606349,0.35,Low,1.1028,0.9069,6.7088,E (Very Soft)
Pabedan,Yangon (West),MMR013034,0.59059294,16.77548142,96.15572775,936,1584.8479326556123,0.4774219466819919,281962.03111144085,301.24148623017186,156.59759053178556,555.5884206698838,0.2,Low,1.0927,0.9153,6.8024,E (Very Soft)
Lanmadaw,Yangon (West),MMR013035,1.88965542,16.7761608,96.14191474,1987,1051.5144607687257,0.2869548296384191,542245.7491214153,272.89670313105955,133.87946111095422,506.3998556882456,0.2,Low,1.0651,0.9391,7.0904,E (Very Soft)
Latha,Yangon (West),MMR013036,0.61457223,16.77616556,96.15051864,1273,2071.35945599104,0.4494258559321087,276204.6504998548,216.9714457972151,128.63338912609328,368.68346443315016,0.2,Low,1.0803,0.9257,6.9218,E (Very Soft)
Ahlone,Yangon (West),MMR013037,3.54443238,16.7855142,96.12699724,2854,805.2065024865843,0.1863164610995653,660386.0976483098,231.38966280599504,123.87672678069404,439.12302931639135,0.2,Low,1.039,0.9634,7.4108,E (Very Soft)
Kyeemyindaing,Yangon (West),MMR013038,11.1629683,16.80646533,96.0925976,7587,679.657936500635,0.0803588818145277,897043.6503190194,118.23430213773815,80.4849484476277,215.87060391066456,0.2,Low,1.1234,0.8963,6.4902,E (Very Soft)
Sanchaung,Yangon (West),MMR013039,2.32724243,16.80699137,96.13353216,4162,1788.3826568081265,0.3427070776235066,797562.4521067282,191.62961367292849,144.5211358642863,330.2540555854806,0.2,Low,1.3825,0.7281,5.303,E (Very Soft)
Hlaing,Yangon (West),MMR013040,9.95688874,16.84693303,96.12088316,9412,945.2752004940048,0.2379488987063629,2369230.7102247854,251.7244698496372,140.91212570673838,467.1838332289624,0.2,Low,1.3776,0.7282,4.3862,E (Very Soft)
Kamaryut,Yangon (West),MMR013041,6.45535435,16.82329337,96.13152672,5340,827.2202749024923,0.2084620959708712,1345696.6980356814,252.00312697297403,156.5562146558724,450.7674381746383,0.2,Low,1.5464,0.6484,4.3168,E (Very Soft)
Mayangone,Yangon (West),MMR013042,24.50238877,16.85931953,96.15344248,18037,736.1323081316859,0.1494966609649805,3663025.306780836,203.08395557913377,119.35159981886248,401.8475513856486,0.2,Low,1.2885,0.7896,4.4771,E (Very Soft)
Dagon,Yangon (West),MMR013043,4.86998083,16.79300305,96.14449028,1970,404.5190461252801,0.1475736086363708,718680.6450730485,364.81251018936473,192.4640025151274,691.473505372298,0.2,Low,1.1766,0.852,6.3858,E (Very Soft)
Bahan,Yangon (West),MMR013044,8.42655946,16.81105267,96.15700645,8000,949.379166903784,0.215301082469751,1814247.373233721,226.78092165421512,160.9383555958513,434.34381834698087,0.2,Low,1.3944,0.7218,5.1883,E (Very Soft)
Hlaingtharya (East),Yangon (North),MMR013046,36.11716231,16.8688221,96.06478162,23079,639.003690320653,0.150945445048078,5451721.138756619,236.2199895470609,86.0503408985794,353.6880198764217,0.2,Low,1.0812,0.929,6.2212,E (Very Soft)
Hlaingtharya (West),Yangon (North),MMR013047,37.22320597,16.89127675,96.03491738,1848,49.64644908580399,0.0294773018502619,1097239.6782121628,593.7444146169712,148.20021200630356,1411.9944363780266,0.2,Low,1.0083,0.9919,7.0,E (Very Soft)
